Province,CongressionalDistrict_Number,E94_Support_by_ListeOmid,E98_94_VoteCorrectCompare,Protest98_CD,Protest98_Violence_CD
Azarbayejan-e- Sharghi,1,Yes,1.00,Yes,No
Azarbayejan-e- Sharghi,2,No,0.74,No,No
Azarbayejan-e- Sharghi,3,No,0.71,No,No
Azarbayejan-e- Sharghi,4,Yes,0.50,Yes,Yes
Azarbayejan-e- Sharghi,5,No,0.84,No,No
Azarbayejan-e- Sharghi,6,Yes,0.64,No,No
Azarbayejan-e- Sharghi,7,No,0.91,No,No
Azarbayejan-e- Sharghi,8,No,0.80,Yes,No
Azarbayejan-e- Sharghi,9,No,0.76,Yes,No
Azarbayejan-e- Sharghi,10,No,0.90,No,No
Azarbayejan-e- Sharghi,11,No,0.70,No,No
Azarbayejan-e- Sharghi,12,No,0.85,No,No
Azarbayejan-e- Sharghi,13,No,0.73,No,No
Azarbayejan-e- Gharbi,14,Yes,0.77,Yes,No
Azarbayejan-e- Gharbi,15,Yes,0.45,Yes,Yes
Azarbayejan-e- Gharbi,16,No,0.62,No,No
Azarbayejan-e- Gharbi,17,No,0.76,No,No
Azarbayejan-e- Gharbi,18,Yes,0.75,No,No
Azarbayejan-e- Gharbi,19,Yes,0.89,No,No
Azarbayejan-e- Gharbi,20,No,0.58,No,No
Azarbayejan-e- Gharbi,21,Yes,0.44,No,No
Azarbayejan-e- Gharbi,22,Yes,1.09,No,No
Ardebil,23,Yes,0.73,Yes,No
Ardebil,24,No,0.85,No,No
Ardebil,25,Yes,0.85,No,No
Ardebil,26,Yes,0.88,No,No
Ardebil,27,No,0.81,No,No
Esfehan,28,Yes,0.61,Yes,Yes
Esfehan,29,No,0.89,No,No
Esfehan,30,No,0.66,No,No
Esfehan,31,Yes,0.72,No,No
Esfehan,32,No,0.62,No,No
Esfehan,33,Yes,0.74,No,No
Esfehan,34,No,0.68,No,No
Esfehan,35,No,0.66,No,No
Esfehan,36,No,0.74,No,No
Esfehan,37,Yes,0.75,No,No
Esfehan,38,No,0.49,No,No
Esfehan,39,No,0.59,No,No
Esfehan,40,No,0.67,No,No
Esfehan,41,No,0.65,Yes,Yes
Esfehan,42,No,0.79,No,No
Alborz,43,No,0.61,Yes,Yes
Alborz,44,No,0.61,No,No
Ilam,45,No,0.92,No,No
Ilam,46,Yes,0.80,No,No
Boushehr,47,Yes,0.76,Yes,No
Boushehr,48,Yes,0.80,No,No
Boushehr,49,No,0.81,No,No
Boushehr,50,No,0.82,No,No
Tehran,51,Yes,0.59,Yes,Yes
Tehran,52,No,0.56,Yes,Yes
Tehran,53,Yes,0.67,No,No
Tehran,54,Yes,0.76,No,No
Tehran,55,Yes,0.57,Yes,Yes
Tehran,56,No,0.59,Yes,Yes
Cheharmahal va Bakhtiari,57,Yes,0.59,No,No
Cheharmahal va Bakhtiari,58,No,0.77,No,No
Cheharmahal va Bakhtiari,59,No,0.97,No,No
Cheharmahal va Bakhtiari,60,Yes,0.69,No,No
Khorasan-e-Jonobi,61,No,0.84,No,No
Khorasan-e-Jonobi,62,No,0.81,No,No
Khorasan-e-Jonobi,63,No,0.85,No,No
Khorasan-e-Jonobi,64,No,0.93,No,No
Khorasan-e-Razavi,65,No,0.90,No,No
Khorasan-e-Razavi,66,Yes,0.79,No,No
Khorasan-e-Razavi,67,No,0.71,No,No
Khorasan-e-Razavi,68,No,0.90,No,No
Khorasan-e-Razavi,69,Yes,0.79,No,No
Khorasan-e-Razavi,70,Yes,0.72,No,No
Khorasan-e-Razavi,71,No,0.80,No,No
